"Profile Types and Levels Mapping";"Profile Types and Levels Mapping"
"FAQ";"FAQ"
"This License Key is not valid";"This License Key is not valid"
"There are no un-mapped Profile Types left.";"There are no un-mapped Profile Types left."
"The mapping has been successfully deleted.";"The mapping has been successfully deleted."
"The mapping has been created successfully.";"The mapping has been created successfully."
"Delete Profile Type to Member Level mapping";"Delete Profile Type to Member Level mapping"
"Are you sure you want to delete this mapping ? You can move all the users of this Profile Type from their existing Member Level to a different one by selecting it below.";"Are you sure you want to delete this mapping ? You can move all the users of this Profile Type from their existing Member Level to a different one by selecting it below."
"Global Settings";"Global Settings"
"License Key";"License Key"
"Please enter your license key that was provided to you when you purchased this plugin. If you do not know your license key, please contact the Support Team of SocialEngineAddOns from the Support section of your Account Area.(Key Format: XXXXXX-XXXXXX-XXXXXX )";"Please enter your license key that was provided to you when you purchased this plugin. If you do not know your license key, please contact the Support Team of SocialEngineAddOns from the Support section of your Account Area.(Key Format: XXXXXX-XXXXXX-XXXXXX )"
"Save Changes";"Save Changes"
"Member Level";"Member Level"
"Delete Mapping";"Delete Mapping"
"cancel";"cancel"
"Username";"Username"
"Email";"Email"
"Search";"Search"
"Edit Mapping between Profile Type and Member Level";"Edit Mapping between Profile Type and Member Level"
"Create a Profile Type to Member Level Mapping";"Create a Profile Type to Member Level Mapping"
"MAPPROFILEMEMBERLEVEL_FORM_ADMIN_MAPPROFILEMEMBERLEVEL_DESCRIPTION";"If you want to automatically assign a Member Level to users of a Profile Type during the signup process, then select the respective values below. You can also enter a Title and Description for this mapping. In the next step, you will be able to assign the selected Member Level to existing users having the selected Profile Type."
"Title";"Title"
"Description";"Description"
"Profile Type";"Profile Type"
"Member Level";"Member Level"
"Save";"Save"
"Do you also want to update the Member Level to : ";"Do you also want to update the Member Level to : "
" for the existing members of your site of the Profile Type : ";" for the existing members of your site of the Profile Type : "
"Yes";"Yes"
" or ";" or "
"No";"No"
"Delete the selected Map Profile Group?";"Delete the selected Map Profile Group?"
"Edit a Profile Type to Member Level Mapping";"Edit a Profile Type to Member Level Mapping"
"Please select in which member level you want to move users.";"Please select in which member level you want to move users."
"Delete";"Delete"
