"Advanced Photo Albums";"Advanced Photo Albums"

"Featured Albums";"Featured Albums"
"Featured Photos";"Featured Photos"
"Activity Feed";"Activity Feed"
"Tabbed Albums Widget";"Tabbed Albums Widget"
"Tabbed Photos Widget";"Tabbed Photos Widget"
"Album of the Day";"Album of the Day"
"Photo of the Day";"Photo of the Day"
"Recent";"Recent"
"Most Liked";"Most Liked"
"Most Viewed";"Most Viewed"
"Most Commented";"Most Commented"
"Featured";"Featured"
"Create Photos Badge";"Create Photos Badge"
"Albums Home";"Albums Home"
"Most Liked Photos";"Most Liked Photos"
"Most Commented Photos";"Most Commented Photos"
"Most Liked Albums";"Most Liked Albums"
"Most Commented Albums";"Most Commented Albums"
"Most Popular";"Most Popular"
"Advanced Albums";"Advanced Albums"
"By %1$s in %2$s";"By %1$s in %2$s"
"By %1$s";"By %1$s"
"%s view";"%s view";"%s views";
"%s like";"%s like";"%s likes";
"%s photo";"%s photo";"%s photos"
"Most Viewed";"Most Viewed"

#Form/Badge/Create.php
"Your Photos Badge";"Your Photos Badge"
"Create a photos badge to show off your photos on your external blog or website. You can customize the way your photos are displayed. Copy the generated HTML and paste it into the source code for your web page.";"Create a photos badge to show off your photos on your external blog or website. You can customize the way your photos are displayed. Copy the generated HTML and paste it into the source code for your web page."
"Most Liked";"Most Liked"
"Most Commented";"Most Commented"
"Most Viewed";"Most Viewed"
"Random";"Random"
"Album Specific";"Album Specific"
"Photos to Show";"Photos to Show"
"Select Album";"Select Album"
"Badge Width (px)";"Badge Width (px)"
"Maximum Number of Photos";"Maximum Number of Photos"
"Create Badge";"Create Badge"

#Form/Unhidephoto.php
"Unhide All Photos";"Unhide All Photos"
"Unhide all photos from the photo strip on top of my profile and reset the photo strip.";"Unhide all photos from the photo strip on top of my profile and reset the photo strip."
"Unhide All";"Unhide All"

#controllers/BadgeController.php
"You have not added any photos yet.";"You have not added any photos yet."
"Are you sure you want to delete this photo?";"Are you sure you want to delete this photo?"
"Do you want to report this?";"Do you want to report this?"

#controllers/CommentController.php
"Invalid request method";"Invalid request method"
"Comment added";"Comment added"
"No comment";"No comment"
"No comment or wrong parent";"No comment or wrong parent"
"Not allowed";"Not allowed"
"Comment deleted";"Comment deleted"
"Like added";"Like added"
"Like removed";"Like removed"
"%s likes this";"%s likes this";"%s like this"
"Share this by re-posting it with your own message.";"Share this by re-posting it with your own message."

#controllers/IndexController.php
"Your photos have been restored.";"Your photos have been restored."
