"Page Profile Popular Reviews";"Sayfa Profile Popular Reviews"
"Displays list of Page's popular reviews. Setting for this widget is available in widget settings tab of Page - Reviews admin.";"Displays list of Sayfa's popular reviews. Setting for this widget is available in widget settings tab of Sayfa - Reviews admin."
"Most Popular Reviews";"Most Popular Reviews"
"Displays list of Page's most commented reviews. Setting for this widget is available in widget settings tab of Page - Reviews admin.";"Displays list of Sayfa's most commented reviews. Setting for this widget is available in widget settings tab of Sayfa - Reviews admin."
"Most Commented Reviews";"Most Commented Reviews"
"Page Profile Most Liked Reviews";"Sayfa Profile Most Liked Reviews"
"Displays list of Page's most liked reviews. Setting for this widget is available in widget settings tab of Page - Reviews admin.";"Displays list of Sayfa's most liked reviews. Setting for this widget is available in widget settings tab of Sayfa - Reviews admin."
"Most Liked Reviews";"Most Liked Reviews"
"Page Profile Reviews";"Sayfa Profile Reviews"
"This widget forms the Reviews tab on the Page Profile and displays the reviews of the Page. It should be placed in the Tabbed Blocks area of the Page Profile.";"This widget forms the Reviews tab on the Sayfa Profile and displays the reviews of the Sayfa. It should be placed in the Tabbed Blocks area of the Sayfa Profile."
"Page Profile Review Rating";"Sayfa Profile Review Rating"
"Displays a Page's review ratings on it's profile.";"Displays a Sayfa's review ratings on it's profile."
"Rating";"Rating"
"Top Rated Pages";"Top Rated Sayfalar"
"Displays the top rated Pages of the site.";"Displays the top rated Sayfalar of the site."
"Most Recent Reviews";"Most Recent Reviews"
"Displays the most recent reviews of the site.";"Displays the most recent reviews of the site."
"Recent Reviews";"Recent Reviews"
"Reviews";"Reviews"
"Count";"Count"
"(number of reviews to show)";"(number of reviews to show)"
"Top Reviewers";"Top Reviewers"
"This widget shows the top reviewers for the Pages on your site based on the number of reviews posted by them.";"This widget shows the top reviewers for the Sayfalar on your site based on the number of reviews posted by them."
"Featured Reviews";"Featured Reviews"
"Displays Featured Reviews as chosen by you from the Manage Ratings & Reviews section in the admin panel of this extension.";"Displays Featured Reviews as chosen by you from the Manage Ratings & Reviews section in the admin panel of this extension."
"Review of the Day";"Review of the Day"
"Displays the Review of the Day for Pages as selected by the Admin from the widget settings section of Reviews and Ratings Extension.";"Displays the Review of the Day for Sayfalar as selected by the Admin from the widget settings section of Reviews and Ratings Extension."
"AJAX Tabbed Reviews widget";"AJAX Tabbed Reviews widget"
"This tabbed AJAX widget concisely shows important information about reviews in 3 tabs: Recent, Popular, Top Reviewers.";"This tabbed AJAX widget concisely shows important information about reviews in 3 tabs: Recent, Popular, Top Reviewers."
"People\'s Reviews";"People\'s Reviews"
"(No. of Elements)";"(No. of Elements)"
"Tabs?";"Tabs?"
"Popular";"Popular"
"Popular Reviews";"Popular Reviews"
"Displays popular reviews for Pages on your site. From the edit popup of this widget, you can set the number of reviews to show in this widget and the criteria for popularity.";"Displays popular reviews for Sayfalar on your site. From the edit popup of this widget, you can set the number of reviews to show in this widget and the criteria for popularity."
"(number of pages to show)";"(number of sayfalar to show)"
"Page Profile Most Commented Reviews";"Sayfa Profile Most Commented Reviews"
"Page Review";"Sayfa Review"
"This widget should be placed on the Page Review View Page.";"This widget should be placed on the Sayfa Review View Sayfa."
"Search Page Reviews form";"Search Sayfa Reviews form"
"Displays the form for searching Page Reviews on the basis of various filters. You can edit the fields to be available in this form.";"Displays the form for searching Sayfa Reviews on the basis of various filters. You can edit the fields to be available in this form."
"Displays the Most Commented Page Reviews. You can choose the number of entries to be shown.";"Displays the Most Commented Sayfa Reviews. You can choose the number of entries to be shown."
"Displays the Most Liked Page Reviews. You can choose the number of entries to be shown.";"Displays the Most Liked Sayfa Reviews. You can choose the number of entries to be shown."
